uid,x,y,name_jp,name_en,attribute,obj_name_en,obj_attributes,category,categories,importance,category_pin,contents,memo_jp,memo_en,updated_at,link_url_jp,link_url_en,link_anchor,marker_display_style,parent_uid,parent_type
p_1767799892,2893.018106,5154.15206,,,DEAD_BODY,,"{""source_category_id"": ""source_dead_body"", ""source_category_jp"": ""遺体"", ""source_category_en"": ""Dead Body""}",戦時債権,"[{""cat_id"": ""war_bonds"", ""category"": ""戦時債権"", ""item_id"": ""War Bonds"", ""item_name_jp"": ""戦時債権"", ""item_name_en"": ""War Bonds"", ""qty"": ""12"", ""attributes"": {}}]",,DEAD_BODY,,,,2026-02-04T15:28:12,,,,,,
p_1768136759,1365.500701,6137.853276,,,STORAGE_BOX,,"{""source_category_id"": ""source_storage_box"", ""source_category_jp"": ""ストレージボックス"", ""source_category_en"": ""Storage Box""}",設計図,"[{""cat_id"": ""blueprint"", ""category"": ""設計図"", ""item_id"": ""Rotor"", ""item_name_jp"": ""ローター"", ""item_name_en"": ""Rotor"", ""qty"": ""1"", ""attributes"": {}}, {""cat_id"": ""blueprint"", ""category"": ""設計図"", ""item_id"": ""Tube"", ""item_name_jp"": ""チューブ"", ""item_name_en"": ""Tube"", ""qty"": ""1"", ""attributes"": {}}, {""cat_id"": ""war_bonds"", ""category"": ""戦時債権"", ""item_id"": ""War Bonds"", ""item_name_jp"": ""戦時債権"", ""item_name_en"": ""War Bonds"", ""qty"": ""30"", ""attributes"": {}}, {""cat_id"": ""trade_item"", ""category"": ""交換アイテム"", ""item_id"": ""Security Logger"", ""item_name_jp"": ""セキュリティログ"", ""item_name_en"": ""Security Logger"", ""qty"": ""1"", ""attributes"": {""ポイント"": ""1500""}}]",,STORAGE_BOX,,,,2026-02-04T15:28:12,,,,,,
p_1767883282,2523.600266,5663.586633,,,STORAGE_BOX,,"{""source_category_id"": ""source_storage_box"", ""source_category_jp"": ""ストレージボックス"", ""source_category_en"": ""Storage Box""}",設計図,"[{""cat_id"": ""blueprint"", ""category"": ""設計図"", ""item_id"": ""Stator"", ""item_name_jp"": ""ステーター"", ""item_name_en"": ""Stator"", ""qty"": ""1"", ""attributes"": {}}, {""cat_id"": ""war_bonds"", ""category"": ""戦時債権"", ""item_id"": ""War Bonds"", ""item_name_jp"": ""戦時債権"", ""item_name_en"": ""War Bonds"", ""qty"": ""15"", ""attributes"": {}}, {""cat_id"": ""trade_item"", ""category"": ""交換アイテム"", ""item_id"": ""Security Logger"", ""item_name_jp"": ""セキュリティログ"", ""item_name_en"": ""Security Logger"", ""qty"": ""1"", ""attributes"": {""ポイント"": ""1500""}}]",,STORAGE_BOX,,,,2026-02-04T15:28:12,,,,,,
p_1767807182,3911.437709,6058.353204,,,STORAGE_BOX,,"{""source_category_id"": ""source_storage_box"", ""source_category_jp"": ""ストレージボックス"", ""source_category_en"": ""Storage Box""}",設計図,"[{""cat_id"": ""blueprint"", ""category"": ""設計図"", ""item_id"": ""Stabilizer"", ""item_name_jp"": ""スタビライザー"", ""item_name_en"": ""Stabilizer"", ""qty"": ""1"", ""attributes"": {}}]",,STORAGE_BOX,,,,2026-02-04T15:28:12,,,,,,
p_1768141106,4169.331884,7455.378904,,,STORAGE_BOX,,"{""source_category_id"": ""source_storage_box"", ""source_category_jp"": ""ストレージボックス"", ""source_category_en"": ""Storage Box""}",設計図,"[{""cat_id"": ""blueprint"", ""category"": ""設計図"", ""item_id"": ""Rotor"", ""item_name_jp"": ""ローター"", ""item_name_en"": ""Rotor"", ""qty"": ""1"", ""attributes"": {}}, {""cat_id"": ""war_bonds"", ""category"": ""戦時債権"", ""item_id"": ""War Bonds"", ""item_name_jp"": ""戦時債権"", ""item_name_en"": ""War Bonds"", ""qty"": ""15"", ""attributes"": {}}, {""cat_id"": ""trade_item"", ""category"": ""交換アイテム"", ""item_id"": ""Security Logger"", ""item_name_jp"": ""セキュリティログ"", ""item_name_en"": ""Security Logger"", ""qty"": ""1"", ""attributes"": {""ポイント"": ""1500""}}]",,STORAGE_BOX,,,,2026-02-04T15:28:12,,,,,,
p_1768142851,4575.789155,8500.893619,,,STORAGE_BOX,,"{""source_category_id"": ""source_storage_box"", ""source_category_jp"": ""ストレージボックス"", ""source_category_en"": ""Storage Box""}",設計図,"[{""cat_id"": ""blueprint"", ""category"": ""設計図"", ""item_id"": ""Tube"", ""item_name_jp"": ""チューブ"", ""item_name_en"": ""Tube"", ""qty"": ""1"", ""attributes"": {}}, {""cat_id"": ""war_bonds"", ""category"": ""戦時債権"", ""item_id"": ""War Bonds"", ""item_name_jp"": ""戦時債権"", ""item_name_en"": ""War Bonds"", ""qty"": ""15"", ""attributes"": {}}, {""cat_id"": ""trade_item"", ""category"": ""交換アイテム"", ""item_id"": ""Frame Memory Module"", ""item_name_jp"": ""フレームメモリモジュール"", ""item_name_en"": ""Frame Memory Module"", ""qty"": ""1"", ""attributes"": {""ポイント"": ""7000""}}]",,STORAGE_BOX,,,,2026-02-04T15:28:12,,,,,,
p_1768233281,1737.858931,5141.834121,,,STORAGE_BOX,,"{""source_category_id"": ""source_storage_box"", ""source_category_jp"": ""ストレージボックス"", ""source_category_en"": ""Storage Box""}",設計図,"[{""cat_id"": ""blueprint"", ""category"": ""設計図"", ""cat_name_en"": ""Blueprint"", ""item_id"": ""Rotor"", ""item_name_jp"": ""ローター"", ""item_name_en"": ""Rotor"", ""qty"": ""1"", ""attributes"": {}}, {""cat_id"": ""trade_item"", ""category"": ""交換アイテム"", ""cat_name_en"": ""Trade Item"", ""item_id"": ""Security Logger"", ""item_name_jp"": ""セキュリティログ"", ""item_name_en"": ""Security Logger"", ""qty"": ""1"", ""attributes"": {""ポイント"": 1500}}]",,STORAGE_BOX,,,,2026-05-10T10:01:59,,,,,,
p_1768118251,2811.163261,4616.70933,,,STORAGE_BOX,,"{""source_category_id"": ""source_storage_box"", ""source_category_jp"": ""ストレージボックス"", ""source_category_en"": ""Storage Box""}",設計図,"[{""cat_id"": ""blueprint"", ""category"": ""設計図"", ""item_id"": ""Stabilizer"", ""item_name_jp"": ""スタビライザー"", ""item_name_en"": ""Stabilizer"", ""qty"": ""1"", ""attributes"": {}}, {""cat_id"": ""blueprint"", ""category"": ""設計図"", ""item_id"": ""Synthetic Silicon"", ""item_name_jp"": ""合成シリコン"", ""item_name_en"": ""Synthetic Silicon"", ""qty"": ""1"", ""attributes"": {}}, {""cat_id"": ""war_bonds"", ""category"": ""戦時債権"", ""item_id"": ""War Bonds"", ""item_name_jp"": ""戦時債権"", ""item_name_en"": ""War Bonds"", ""qty"": ""15"", ""attributes"": {}}, {""cat_id"": ""trade_item"", ""category"": ""交換アイテム"", ""item_id"": ""Security Logger"", ""item_name_jp"": ""セキュリティログ"", ""item_name_en"": ""Security Logger"", ""qty"": ""1"", ""attributes"": {""ポイント"": ""1500""}}]",,STORAGE_BOX,,,,2026-02-04T15:28:12,,,,,,
p_1768108696,3983.754438,4746.124289,,,STORAGE_BOX,,"{""source_category_id"": ""source_storage_box"", ""source_category_jp"": ""ストレージボックス"", ""source_category_en"": ""Storage Box""}",設計図,"[{""cat_id"": ""blueprint"", ""category"": ""設計図"", ""item_id"": ""Tube"", ""item_name_jp"": ""チューブ"", ""item_name_en"": ""Tube"", ""qty"": ""1"", ""attributes"": {}}, {""cat_id"": ""war_bonds"", ""category"": ""戦時債権"", ""item_id"": ""War Bonds"", ""item_name_jp"": ""戦時債権"", ""item_name_en"": ""War Bonds"", ""qty"": ""15"", ""attributes"": {}}, {""cat_id"": ""trade_item"", ""category"": ""交換アイテム"", ""item_id"": ""Frame Memory Module"", ""item_name_jp"": ""フレームメモリモジュール"", ""item_name_en"": ""Frame Memory Module"", ""qty"": ""1"", ""attributes"": {""ポイント"": ""7000""}}]",,STORAGE_BOX,,,,2026-02-04T15:28:12,,,,,,
p_1768189976,5087.360985,5628.489081,,,STORAGE_BOX,,"{""source_category_id"": ""source_storage_box"", ""source_category_jp"": ""ストレージボックス"", ""source_category_en"": ""Storage Box""}",設計図,"[{""cat_id"": ""blueprint"", ""category"": ""設計図"", ""item_id"": ""Rotor"", ""item_name_jp"": ""ローター"", ""item_name_en"": ""Rotor"", ""qty"": ""1"", ""attributes"": {}}, {""cat_id"": ""blueprint"", ""category"": ""設計図"", ""item_id"": ""Hardening Agent"", ""item_name_jp"": ""硬化剤"", ""item_name_en"": ""Hardening Agent"", ""qty"": ""1"", ""attributes"": {}}, {""cat_id"": ""war_bonds"", ""category"": ""戦時債権"", ""item_id"": ""War Bonds"", ""item_name_jp"": ""戦時債権"", ""item_name_en"": ""War Bonds"", ""qty"": ""15"", ""attributes"": {}}, {""cat_id"": ""trade_item"", ""category"": ""交換アイテム"", ""item_id"": ""Security Logger"", ""item_name_jp"": ""セキュリティログ"", ""item_name_en"": ""Security Logger"", ""qty"": ""1"", ""attributes"": {""ポイント"": ""1500""}}]",,STORAGE_BOX,,,,2026-02-04T15:28:12,,,,,,
